bytesize,start_offset,end_offset,1001111111,111101001001000???111,10*11111??1,11?0?1011*111
4096,1891890,1895985,11,0,38,16
4096,1895985,1900080,17,0,77,28
4096,1900080,1904175,29,0,113,34
4096,1904175,1908270,47,0,130,56
4096,1908270,1912365,5,0,44,75
4096,1912365,1916460,6,0,48,31
4096,1916460,1920555,11,0,55,35
4096,1920555,1924650,24,0,92,42
4096,1924650,1928745,25,0,110,24
4096,1928745,1932840,27,0,133,53
4096,1932840,1936935,20,0,101,32
4096,1936935,1941030,2,0,42,19
4096,1941030,1945125,3,0,47,13
4096,1945125,1949220,8,0,45,21
4096,1949220,1953315,10,0,93,64
4096,1953315,1957410,21,0,114,17
4096,1957410,1961505,37,0,133,59
4096,1961505,1965600,27,0,122,40
4096,1965600,1969695,26,0,122,29
4096,1969695,1973790,24,0,114,23
4096,1973790,1977885,39,0,145,34
4096,1977885,1981980,24,0,112,37
4096,1981980,1986075,22,0,75,23
4096,1986075,1990170,8,0,58,20
4096,1990170,1994265,8,0,59,23
4096,1994265,1998360,11,0,56,25
4096,1998360,2002455,19,0,63,20
4096,2002455,2006550,21,0,83,34
4096,2006550,2010645,42,0,126,36
4096,2010645,2014740,29,0,145,42
4096,2014740,2018835,31,0,117,38
4096,2018835,2022930,30,0,114,40
4096,2022930,2027025,33,0,143,57
4096,2027025,2031120,35,0,128,33
4096,2031120,2035215,25,0,126,37
4096,2035215,2039310,36,0,125,34
4096,2039310,2043405,43,0,133,25
4096,2043405,2047500,35,0,106,48
4096,2047500,2051595,30,0,96,46
4096,2051595,2055690,23,0,92,33
4096,2055690,2059785,23,0,82,20
4096,2059785,2063880,27,0,147,29
4096,2063880,2067975,26,0,103,37
4096,2067975,2072070,35,0,119,25
4096,2072070,2076165,36,1,122,39
4096,2076165,2080260,30,0,136,46
4096,2080260,2084355,21,1,93,34
4096,2084355,2088450,32,0,110,33
4096,2088450,2092545,34,0,114,42
4096,2092545,2096640,17,0,88,31
4096,2096640,2100735,34,0,117,36
4096,2100735,2104830,26,0,130,41
4096,2104830,2108925,18,0,59,22
4096,2108925,2113020,21,0,91,35
4096,2113020,2117115,37,0,128,39
4096,2117115,2121210,39,0,122,34
4096,2121210,2125305,7,0,67,20
4096,2125305,2129400,24,0,108,18
4096,2129400,2133495,34,1,119,36
4096,2133495,2137590,35,0,106,40
4096,2137590,2141685,21,0,102,42
4096,2141685,2145780,29,0,114,27
4096,2145780,2149875,8,0,46,22
4096,2149875,2153970,7,0,31,16
4096,2153970,2158065,4,0,35,20
4096,2158065,2162160,5,0,30,26
4096,2162160,2166255,6,0,74,20
4096,2166255,2170350,6,0,54,18
4096,2170350,2174445,5,0,57,36
4096,2174445,2178540,17,0,79,25
4096,2178540,2182635,23,0,89,22
4096,2182635,2186730,2,0,44,18
4096,2186730,2190825,1,1,35,12
4096,2190825,2194920,22,0,85,64
4096,2194920,2199015,28,0,112,51
4096,2199015,2203110,9,0,63,39
4096,2203110,2207205,31,0,119,32
4096,2207205,2211300,24,0,108,26
4096,2211300,2215395,32,0,126,39
4096,2215395,2219490,36,0,131,31
4096,2219490,2223585,15,0,59,17
4096,2223585,2227680,22,0,116,27
4096,2227680,2231775,22,0,109,32
4096,2231775,2235870,38,0,127,47
4096,2235870,2239965,24,0,113,37
4096,2239965,2244060,21,0,64,21
4096,2244060,2248155,1,0,31,18
4096,2248155,2252250,9,0,61,18
4096,2252250,2256345,28,0,133,30
4096,2256345,2260440,34,0,136,25
4096,2260440,2264535,25,0,134,39
4096,2264535,2268630,1,0,37,15
4096,2268630,2272725,3,0,58,11
4096,2272725,2276820,24,0,111,37
4096,2276820,2280915,25,0,130,30
4096,2280915,2285010,11,0,58,21
4096,2285010,2289105,1,0,18,5
4096,2289105,2293200,30,0,114,39
4096,2293200,2297295,19,0,102,32
4096,2297295,2301390,25,0,140,22
4096,2301390,2305485,27,0,101,50
4096,2305485,2309580,16,0,94,31
4096,2309580,2313675,3,0,28,26
4096,2313675,2317770,10,0,74,66
4096,2317770,2321865,14,0,88,41
4096,2321865,2325960,25,0,139,33
4096,2325960,2330055,0,0,35,21
4096,2330055,2334150,5,0,36,23
4096,2334150,2338245,32,0,115,24
4096,2338245,2342340,11,0,85,37
4096,2342340,2346435,2,0,63,45
4096,2346435,2350530,8,0,69,40
4096,2350530,2354625,28,0,100,29
4096,2354625,2358720,29,0,117,36
4096,2358720,2362815,15,0,53,27
4096,2362815,2366910,6,0,32,27
4096,2366910,2371005,6,0,37,16
4096,2371005,2375100,2,0,37,21
4096,2375100,2379195,3,0,57,28
4096,2379195,2383290,4,0,49,25
4096,2383290,2387385,20,0,107,62
4096,2387385,2391480,30,0,121,42
4096,2391480,2395575,25,0,110,28
4096,2395575,2399670,8,0,46,27
4096,2399670,2403765,29,0,132,39
4096,2403765,2407860,31,0,125,41
4096,2407860,2411955,30,0,126,36
4096,2411955,2416050,17,0,84,27
4096,2416050,2420145,3,0,44,13
4096,2420145,2424240,11,0,82,16
4096,2424240,2428335,34,0,136,48
4096,2428335,2432430,25,0,104,26
4096,2432430,2436525,35,0,136,29
4096,2436525,2440620,31,0,129,24
4096,2440620,2444715,22,0,103,28
4096,2444715,2448810,24,1,126,32
4096,2448810,2452905,24,0,127,26
4096,2452905,2457000,40,0,144,38
4096,2457000,2461095,39,0,144,44
4096,2461095,2465190,11,0,45,29
4096,2465190,2469285,26,0,105,43
4096,2469285,2473380,33,0,138,31
4096,2473380,2477475,38,0,131,32
4096,2477475,2481570,30,0,124,30
4096,2481570,2485665,35,0,111,44
4096,2485665,2489760,35,0,123,30
4096,2489760,2493855,29,0,130,25
4096,2493855,2497950,36,0,137,31
4096,2497950,2502045,38,1,93,35
4096,2502045,2506140,28,0,129,40
4096,2506140,2510235,29,0,135,30
4096,2510235,2514330,29,0,126,36
4096,2514330,2518425,27,0,129,47
4096,2518425,2522520,29,0,118,38
4096,2522520,2526615,6,0,68,15
4096,2526615,2530710,3,0,55,17
4096,2530710,2534805,18,0,89,18
4096,2534805,2538900,25,0,134,44
4096,2538900,2542995,24,0,105,40
4096,2542995,2547090,5,0,35,22
4096,2547090,2551185,25,0,108,47
4096,2551185,2555280,14,0,87,20
4096,2555280,2559375,22,0,93,44
4096,2559375,2563470,3,0,46,17
4096,2563470,2567565,3,0,34,22
4096,2567565,2571660,4,0,37,15
